flags_file,plot,ensemble_anomalies
flags_opportunity_CL-88045_multi.csv,diagnostics_crisp_opportunity_CL-88045.png,2
flags_opportunity_ADV-19573_multi.csv,diagnostics_crisp_opportunity_ADV-19573.png,3
flags_risk_CL-92559_multi.csv,diagnostics_crisp_risk_CL-92559.png,3
flags_risk_SEG-29183_multi.csv,diagnostics_crisp_risk_SEG-29183.png,4
flags_opportunity_ACC-96828_multi.csv,diagnostics_crisp_opportunity_ACC-96828.png,3
flags_opportunity_ADV-62091_multi.csv,diagnostics_crisp_opportunity_ADV-62091.png,3
flags_opportunity_ACC-95826_multi.csv,diagnostics_crisp_opportunity_ACC-95826.png,1
flags_risk_ACC-87458_multi.csv,diagnostics_crisp_risk_ACC-87458.png,1
flags_quality_SEG-58719_multi.csv,diagnostics_crisp_quality_SEG-58719.png,2
flags_quality_ACC-82255_multi.csv,diagnostics_crisp_quality_ACC-82255.png,4
flags_performance_ADV-77224_multi.csv,diagnostics_crisp_performance_ADV-77224.png,3
flags_quality_ADV-36016_multi.csv,diagnostics_crisp_quality_ADV-36016.png,3
flags_risk_PRD-23244_multi.csv,diagnostics_crisp_risk_PRD-23244.png,4
flags_behavior_CL-21884_multi.csv,diagnostics_crisp_behavior_CL-21884.png,1
flags_quality_SEG-88811_multi.csv,diagnostics_crisp_quality_SEG-88811.png,3
flags_opportunity_PRD-64949_multi.csv,diagnostics_crisp_opportunity_PRD-64949.png,4
flags_opportunity_PRD-94373_multi.csv,diagnostics_crisp_opportunity_PRD-94373.png,5
flags_risk_ACC-70808_multi.csv,diagnostics_crisp_risk_ACC-70808.png,4
flags_quality_ADV-98461_multi.csv,diagnostics_crisp_quality_ADV-98461.png,3
flags_risk_SEG-23150_multi.csv,diagnostics_crisp_risk_SEG-23150.png,4
flags_risk_SEG-15519_multi.csv,diagnostics_crisp_risk_SEG-15519.png,2
flags_risk_ACC-88593_multi.csv,diagnostics_crisp_risk_ACC-88593.png,3
flags_opportunity_ACC-69943_multi.csv,diagnostics_crisp_opportunity_ACC-69943.png,1
flags_risk_CL-72359_multi.csv,diagnostics_crisp_risk_CL-72359.png,1
flags_risk_CL-34203_multi.csv,diagnostics_crisp_risk_CL-34203.png,3
flags_risk_ACC-52767_multi.csv,diagnostics_crisp_risk_ACC-52767.png,6
flags_opportunity_CL-69374_multi.csv,diagnostics_crisp_opportunity_CL-69374.png,4
flags_behavior_PRD-76698_multi.csv,diagnostics_crisp_behavior_PRD-76698.png,3
